open_time_raw,open_time_utc,open_time_eastern,open,high,low,close,volume,close_time_raw,close_time_utc,close_time_eastern,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1773161760000000,2026-03-10T16:56:00+00:00,2026-03-10T12:56:00-04:00,71273.29000000,71273.30000000,71192.62000000,71192.65000000,13.60161000,1773161819999999,2026-03-10T16:56:59.999999+00:00,2026-03-10T12:56:59.999999-04:00,968720.22018840,2745,1.97084000,140391.68262740,0
1773161820000000,2026-03-10T16:57:00+00:00,2026-03-10T12:57:00-04:00,71192.64000000,71231.39000000,71190.43000000,71190.44000000,13.22803000,1773161879999999,2026-03-10T16:57:59.999999+00:00,2026-03-10T12:57:59.999999-04:00,941943.69812020,2054,7.77542000,553658.68413150,0
1773161880000000,2026-03-10T16:58:00+00:00,2026-03-10T12:58:00-04:00,71190.44000000,71216.32000000,71174.92000000,71210.81000000,11.04539000,1773161939999999,2026-03-10T16:58:59.999999+00:00,2026-03-10T12:58:59.999999-04:00,786450.77184010,2099,6.08650000,433378.20995030,0
1773161940000000,2026-03-10T16:59:00+00:00,2026-03-10T12:59:00-04:00,71210.82000000,71272.00000000,71207.15000000,71268.59000000,11.55343000,1773161999999999,2026-03-10T16:59:59.999999+00:00,2026-03-10T12:59:59.999999-04:00,823004.76936970,2011,7.20291000,513119.99618700,0
1773162000000000,2026-03-10T17:00:00+00:00,2026-03-10T13:00:00-04:00,71268.58000000,71268.58000000,71209.10000000,71233.71000000,20.13422000,1773162059999999,2026-03-10T17:00:59.999999+00:00,2026-03-10T13:00:59.999999-04:00,1434202.91140700,3020,5.74073000,408995.03537020,0
1773162060000000,2026-03-10T17:01:00+00:00,2026-03-10T13:01:00-04:00,71233.70000000,71272.00000000,71204.00000000,71271.99000000,14.69816000,1773162119999999,2026-03-10T17:01:59.999999+00:00,2026-03-10T13:01:59.999999-04:00,1047155.70399940,3259,7.16175000,510269.22491800,0
1773162120000000,2026-03-10T17:02:00+00:00,2026-03-10T13:02:00-04:00,71271.99000000,71292.84000000,71234.61000000,71292.84000000,11.25435000,1773162179999999,2026-03-10T17:02:59.999999+00:00,2026-03-10T13:02:59.999999-04:00,802061.90759880,3681,5.81599000,414503.09197530,0
1773162180000000,2026-03-10T17:03:00+00:00,2026-03-10T13:03:00-04:00,71292.84000000,71292.84000000,71211.03000000,71236.64000000,8.11785000,1773162239999999,2026-03-10T17:03:59.999999+00:00,2026-03-10T13:03:59.999999-04:00,578314.87951840,3020,2.26375000,161275.04469350,0
1773162240000000,2026-03-10T17:04:00+00:00,2026-03-10T13:04:00-04:00,71236.63000000,71254.93000000,71227.22000000,71247.38000000,20.67928000,1773162299999999,2026-03-10T17:04:59.999999+00:00,2026-03-10T13:04:59.999999-04:00,1473255.13339880,3464,15.31821000,1091325.46767870,0
1773162300000000,2026-03-10T17:05:00+00:00,2026-03-10T13:05:00-04:00,71247.39000000,71380.20000000,71247.39000000,71380.20000000,18.69348000,1773162359999999,2026-03-10T17:05:59.999999+00:00,2026-03-10T13:05:59.999999-04:00,1332962.40306460,5676,10.37260000,739665.34714030,0
1773162360000000,2026-03-10T17:06:00+00:00,2026-03-10T13:06:00-04:00,71380.20000000,71438.27000000,71373.43000000,71435.15000000,19.83467000,1773162419999999,2026-03-10T17:06:59.999999+00:00,2026-03-10T13:06:59.999999-04:00,1416143.98018100,4500,13.47161000,961853.67096420,0
1773162420000000,2026-03-10T17:07:00+00:00,2026-03-10T13:07:00-04:00,71435.14000000,71452.00000000,71328.00000000,71329.89000000,16.71826000,1773162479999999,2026-03-10T17:07:59.999999+00:00,2026-03-10T13:07:59.999999-04:00,1193872.64491120,3858,3.86968000,276352.48613380,0
1773162480000000,2026-03-10T17:08:00+00:00,2026-03-10T13:08:00-04:00,71329.89000000,71333.08000000,71254.53000000,71330.29000000,18.06102000,1773162539999999,2026-03-10T17:08:59.999999+00:00,2026-03-10T13:08:59.999999-04:00,1287608.65802110,3093,5.12012000,365019.11210140,0
1773162540000000,2026-03-10T17:09:00+00:00,2026-03-10T13:09:00-04:00,71330.28000000,71336.71000000,71295.50000000,71306.45000000,11.07567000,1773162599999999,2026-03-10T17:09:59.999999+00:00,2026-03-10T13:09:59.999999-04:00,789929.75185370,2370,4.30048000,306717.11205000,0
1773162600000000,2026-03-10T17:10:00+00:00,2026-03-10T13:10:00-04:00,71306.45000000,71340.13000000,71292.78000000,71339.55000000,7.75079000,1773162659999999,2026-03-10T17:10:59.999999+00:00,2026-03-10T13:10:59.999999-04:00,552806.13406880,2303,4.41706000,315045.64248160,0
1773162660000000,2026-03-10T17:11:00+00:00,2026-03-10T13:11:00-04:00,71339.56000000,71367.40000000,71311.54000000,71324.56000000,12.97860000,1773162719999999,2026-03-10T17:11:59.999999+00:00,2026-03-10T13:11:59.999999-04:00,925896.44949840,2571,7.71304000,550248.48700020,0
1773162720000000,2026-03-10T17:12:00+00:00,2026-03-10T13:12:00-04:00,71324.56000000,71324.56000000,71257.12000000,71257.13000000,11.75238000,1773162779999999,2026-03-10T17:12:59.999999+00:00,2026-03-10T13:12:59.999999-04:00,837791.97212860,4205,5.67882000,404809.34225010,0
1773162780000000,2026-03-10T17:13:00+00:00,2026-03-10T13:13:00-04:00,71257.12000000,71257.13000000,71216.62000000,71242.52000000,13.20633000,1773162839999999,2026-03-10T17:13:59.999999+00:00,2026-03-10T13:13:59.999999-04:00,940687.93283530,3030,5.60556000,399262.18267600,0
1773162840000000,2026-03-10T17:14:00+00:00,2026-03-10T13:14:00-04:00,71242.51000000,71281.39000000,71237.83000000,71258.10000000,6.96966000,1773162899999999,2026-03-10T17:14:59.999999+00:00,2026-03-10T13:14:59.999999-04:00,496685.36563690,2266,4.13247000,294501.48449520,0
1773162900000000,2026-03-10T17:15:00+00:00,2026-03-10T13:15:00-04:00,71258.10000000,71323.14000000,71252.45000000,71323.13000000,7.63802000,1773162959999999,2026-03-10T17:15:59.999999+00:00,2026-03-10T13:15:59.999999-04:00,544549.06885300,2533,5.67403000,404528.64884310,0
1773162960000000,2026-03-10T17:16:00+00:00,2026-03-10T13:16:00-04:00,71323.13000000,71366.01000000,71279.70000000,71279.71000000,11.06591000,1773163019999999,2026-03-10T17:16:59.999999+00:00,2026-03-10T13:16:59.999999-04:00,789200.84891860,3901,3.54009000,252533.15187260,0
1773163020000000,2026-03-10T17:17:00+00:00,2026-03-10T13:17:00-04:00,71279.70000000,71279.71000000,71186.12000000,71256.21000000,10.94904000,1773163079999999,2026-03-10T17:17:59.999999+00:00,2026-03-10T13:17:59.999999-04:00,779784.75211500,4669,4.26974000,304070.08071200,0
1773163080000000,2026-03-10T17:18:00+00:00,2026-03-10T13:18:00-04:00,71256.22000000,71293.31000000,71246.91000000,71252.38000000,7.79516000,1773163139999999,2026-03-10T17:18:59.999999+00:00,2026-03-10T13:18:59.999999-04:00,555578.64976520,3541,3.32333000,236857.32072200,0
1773163140000000,2026-03-10T17:19:00+00:00,2026-03-10T13:19:00-04:00,71252.37000000,71271.52000000,71219.00000000,71252.41000000,23.15434000,1773163199999999,2026-03-10T17:19:59.999999+00:00,2026-03-10T13:19:59.999999-04:00,1649783.11291740,3350,7.96224000,567282.31088030,0
1773163200000000,2026-03-10T17:20:00+00:00,2026-03-10T13:20:00-04:00,71252.42000000,71259.90000000,71231.76000000,71237.22000000,14.09440000,1773163259999999,2026-03-10T17:20:59.999999+00:00,2026-03-10T13:20:59.999999-04:00,1004229.68335890,2561,3.30723000,235613.22994300,0
1773163260000000,2026-03-10T17:21:00+00:00,2026-03-10T13:21:00-04:00,71237.22000000,71266.89000000,71194.21000000,71246.17000000,13.61329000,1773163319999999,2026-03-10T17:21:59.999999+00:00,2026-03-10T13:21:59.999999-04:00,969834.71654330,3660,6.07230000,432620.74379990,0
1773163320000000,2026-03-10T17:22:00+00:00,2026-03-10T13:22:00-04:00,71246.18000000,71257.52000000,71206.04000000,71253.21000000,12.86234000,1773163379999999,2026-03-10T17:22:59.999999+00:00,2026-03-10T13:22:59.999999-04:00,916338.14298810,3324,4.58562000,326691.76830080,0
1773163380000000,2026-03-10T17:23:00+00:00,2026-03-10T13:23:00-04:00,71253.21000000,71261.60000000,71242.89000000,71251.43000000,8.97871000,1773163439999999,2026-03-10T17:23:59.999999+00:00,2026-03-10T13:23:59.999999-04:00,639762.75266450,1498,3.43379000,244666.43119680,0
1773163440000000,2026-03-10T17:24:00+00:00,2026-03-10T13:24:00-04:00,71251.42000000,71328.40000000,71242.02000000,71242.03000000,136.38611000,1773163499999999,2026-03-10T17:24:59.999999+00:00,2026-03-10T13:24:59.999999-04:00,9720037.09010590,5067,59.29535000,4225380.77032910,0
1773163500000000,2026-03-10T17:25:00+00:00,2026-03-10T13:25:00-04:00,71242.02000000,71272.92000000,71152.55000000,71152.55000000,23.89773000,1773163559999999,2026-03-10T17:25:59.999999+00:00,2026-03-10T13:25:59.999999-04:00,1701794.30797560,4202,10.84193000,772142.60285880,0
1773163560000000,2026-03-10T17:26:00+00:00,2026-03-10T13:26:00-04:00,71152.54000000,71152.54000000,70993.45000000,71042.41000000,38.59848000,1773163619999999,2026-03-10T17:26:59.999999+00:00,2026-03-10T13:26:59.999999-04:00,2742095.35469150,7091,6.46568000,459167.01718230,0
1773163620000000,2026-03-10T17:27:00+00:00,2026-03-10T13:27:00-04:00,71042.41000000,71101.38000000,71042.41000000,71089.12000000,15.48662000,1773163679999999,2026-03-10T17:27:59.999999+00:00,2026-03-10T13:27:59.999999-04:00,1100763.73156880,4456,8.01052000,569381.43827960,0
1773163680000000,2026-03-10T17:28:00+00:00,2026-03-10T13:28:00-04:00,71089.12000000,71118.41000000,71073.46000000,71073.46000000,8.21746000,1773163739999999,2026-03-10T17:28:59.999999+00:00,2026-03-10T13:28:59.999999-04:00,584245.47385010,2434,3.39902000,241677.23862410,0
1773163740000000,2026-03-10T17:29:00+00:00,2026-03-10T13:29:00-04:00,71073.47000000,71078.45000000,71017.29000000,71046.31000000,9.28172000,1773163799999999,2026-03-10T17:29:59.999999+00:00,2026-03-10T13:29:59.999999-04:00,659473.75219070,2940,2.49243000,177074.12751510,0
